"";"sku";"sociability";"precio";"category";"apariciones";"media_repe";"total_vendido"
"240";"APP1135";0,692307692307692;35,1496551724138;"accessories";87;1;87
"241";"APP1136";0,833333333333333;35,6370512820513;"accessories";78;1,01282051282051;79
"242";"APP1145";1;54,7052941176471;"accessories";17;1;17
"243";"APP1146";1;54,0988888888889;"accessories";9;1;9
"244";"APP1149";1,5;41,5504347826087;"accessories";23;1;23
"245";"APP1150";0,5;41,3144117647059;"accessories";34;1;34
"246";"APP1151";0,5;41,1979166666667;"accessories";24;1;24
"247";"APP1169";1;673,259833333333;"smartphone";60;1,06666666666667;64
"248";"APP1171";0,428571428571429;665,125454545455;"smartphone";55;1;55
"249";"APP1184";0,436055469953775;56,1992002381425;"extended warranty";5039;1,26334590196468;6366
"250";"APP1186";2,33333333333333;34,3580434782609;"accessories";46;1,04347826086957;48
"251";"APP1187";2;44,2552941176471;"accessories";17;1,11764705882353;19
"252";"APP1188";2;34,778023255814;"accessories";86;1,01162790697674;87
"253";"APP1189";0,333333333333333;1186,92867132867;"pc";143;1,3006993006993;186
"254";"APP1191";1;1596,42098901099;"pc";91;1,05494505494505;96
"255";"APP1192";0,5;1982,27548076923;"pc";104;1,01923076923077;106
"256";"APP1193";0,222222222222222;2056,3995959596;"pc";99;1,08080808080808;107
"257";"APP1200";1;1002,16666666667;"tablet";6;1;6
"258";"APP1204";0,785714285714286;173,011741935484;"other";155;1,12258064516129;174
"259";"APP1205";0,666666666666667;224,345128205128;"other";39;1,02564102564103;40
"260";"APP1208";3,62068965517241;79,7974628450106;"accessories";1884;1,0536093418259;1985
"261";"APP1209";4,375;108,479436936937;"accessories";444;1,05630630630631;469
"262";"APP1210";3,2;130,442077483561;"accessories";5627;1,00373200639773;5648
"263";"APP1210-A";1;126,967;"accessories";10;1;10
"264";"APP1215";5,2962962962963;107,149604700855;"accessories";1872;1,01923076923077;1908
"265";"APP1236";0,333333333333333;1792,06142857143;"pc";14;1,07142857142857;15
"266";"APP1271";1;2318,74;"pc";4;1;4
"267";"APP1378";1;3039,99;"pc";6;1;6
"268";"APP1434";1;37,3933333333333;"accessories";3;1;3
"269";"APP1455";8;33,0657894736842;"accessories";19;1,26315789473684;24
"270";"APP1456";2;33,5315384615385;"accessories";13;1,07692307692308;14
"271";"APP1457";5,25;32,0107792207792;"accessories";77;1,06493506493506;82
"272";"APP1459";2,22222222222222;97,2424852071006;"accessories";169;1,0414201183432;176
"273";"APP1464";4;88,5892307692308;"accessories";13;1,15384615384615;15
"274";"APP1475";0,125;474,488360655738;"smartphone";122;1,07377049180328;131
"275";"APP1479";1;648,628571428571;"tablet";28;1;28
"276";"APP1480";1;651,253043478261;"tablet";23;1,04347826086957;24
"277";"APP1483";0,241379310344828;648,991470588235;"tablet";170;1,01764705882353;173
"278";"APP1484";0,333333333333333;749,956875;"tablet";32;1,15625;37
"279";"APP1485";2;729,321612903226;"tablet";31;1;31
"280";"APP1486";2;760,754285714286;"tablet";21;1,04761904761905;22
"281";"APP1489";1,4;694,317333333333;"tablet";75;1,04;78
"282";"APP1495";4;903,566825396825;"tablet";63;1,3015873015873;82
"283";"APP1510";1;53,954;"accessories";10;1;10
"284";"APP1511";2;51,652;"accessories";10;1,3;13
"285";"APP1521";0,75;72,7857142857143;"accessories";35;1;35
"286";"APP1523";0,8;57,022;"accessories";20;1;20
"287";"APP1526";2;61,5933333333333;"accessories";12;1;12
"288";"APP1532";1;71,4975;"accessories";4;1;4
"289";"APP1563";2;40,4081428571429;"accessories";70;1,01428571428571;71
"290";"APP1564";1,36363636363636;40,28;"accessories";161;1,00621118012422;162
"291";"APP1565";19,5;25,8900769230769;"accessories";130;1,05384615384615;137
"292";"APP1566";2,6;34,825;"accessories";82;1,15853658536585;95
"293";"APP1568";1;1331,18720930233;"laptop";43;1;43
"294";"APP1569";1;1361,99;"laptop";30;1,03333333333333;31
"295";"APP1570";1;1343,07173913043;"laptop";23;1,04347826086957;24
"296";"APP1575";0,6;978,382081632653;"laptop";245;1,03265306122449;253
"297";"APP1576";3;1153,18736842105;"laptop";76;1,02631578947368;78
"298";"APP1577";1;1222,60807228916;"laptop";83;1,12048192771084;93
"299";"APP1577-A";1;1160,212;"laptop";5;1;5
"300";"APP1578";1;1503,79;"laptop";10;1;10
"301";"APP1579";0,8;1388,57519480519;"laptop";77;1,14285714285714;88
"302";"APP1580";3;1613,24641025641;"laptop";39;1;39
"303";"APP1611";1;1802,03764705882;"laptop";34;1;34
"304";"APP1622";2,33333333333333;165,333108108108;"accessories";74;1,09459459459459;81
"305";"APP1623";3;174,1054375;"accessories";160;1,01875;163
"306";"APP1624";1,08333333333333;951,26996124031;"smartphone";258;1,1046511627907;285
"307";"APP1626";0,777777777777778;948,025797101449;"smartphone";207;1,64251207729469;340
"308";"APP1627";0,5;929,195162790698;"smartphone";215;1,06976744186047;230
"309";"APP1628";0,875;926,369476744186;"smartphone";172;1,74418604651163;300
"310";"APP1629";1;1123,36738095238;"smartphone";42;1,07142857142857;45
"311";"APP1630";1;1109,21615384615;"smartphone";26;1,26923076923077;33
"312";"APP1634";1;822,813360323887;"smartphone";247;1,03238866396761;255
"313";"APP1635";0,25;801,044428571429;"smartphone";140;1,02857142857143;144
"314";"APP1636";2,33333333333333;815,629861111111;"smartphone";144;1,05555555555556;152
"315";"APP1637";0,375;808,353897637795;"smartphone";254;1,03937007874016;264
"316";"APP1638";0,5;672,72216066482;"smartphone";361;1,0415512465374;376
"317";"APP1639";0,535714285714286;667,455844155844;"smartphone";308;1,0487012987013;323
"318";"APP1640";0,461538461538462;684,437134831461;"smartphone";178;1,02808988764045;183
"319";"APP1641";0,208333333333333;670,244847161572;"smartphone";229;1,04366812227074;239
"320";"APP1642";1;800,285314285714;"smartphone";175;1,02857142857143;180
"321";"APP1643";0,625;781,463706896552;"smartphone";116;1,19827586206897;139
"322";"APP1644";1,5;808,355230769231;"smartphone";65;1,01538461538462;66
"323";"APP1645";0,6;779,21644295302;"smartphone";149;1,05369127516779;157
"324";"APP1646";0,538461538461538;800,505779220779;"smartphone";154;1,15584415584416;178
"325";"APP1652";0,625;648,620661157025;"smartphone";121;1,0495867768595;127
"326";"APP1653";0,333333333333333;658,612295081967;"smartphone";61;1,0327868852459;63
"327";"APP1655";0,25;668,622380952381;"smartphone";105;1,04761904761905;110
"328";"APP1656";0,526315789473684;569,561256038647;"smartphone";207;1,99033816425121;412
"329";"APP1657";0,5;586,398985507246;"smartphone";138;1,03623188405797;143
"330";"APP1658";0,555555555555556;564,967215189873;"smartphone";79;1,0379746835443;82
"331";"APP1659";0,272727272727273;558,387195571956;"smartphone";271;1,05535055350553;286
"332";"APP1660";0,875;40,3382352941176;"accessories";68;1,05882352941176;72
"333";"APP1661";0,5;40,928;"accessories";15;1;15
"334";"APP1663";0,6;40,0152941176471;"accessories";51;1,01960784313725;52
"335";"APP1667";1;40,5111764705882;"accessories";68;1,05882352941176;72
"336";"APP1669";0,692307692307692;32,1931088082902;"accessories";193;1,04663212435233;202
"337";"APP1670";0,461538461538462;35,3819565217391;"accessories";92;1,03260869565217;95
"338";"APP1671";1,5;34,2929411764706;"accessories";34;1;34
"339";"APP1672";0,5;35,9292857142857;"accessories";28;1,03571428571429;29
"340";"APP1673";0,777777777777778;35,1255;"accessories";80;1,0375;83
"341";"APP1676";0,5;36,5611428571429;"accessories";70;1,02857142857143;72
"342";"APP1677";0,666666666666667;36,310618556701;"accessories";97;1,04123711340206;101
"343";"APP1679";2,46153846153846;8,75700650759219;"accessories";461;1,08893709327549;502
"344";"APP1681";0,25;49,74;"accessories";30;1,06666666666667;32
"345";"APP1683";0,333333333333333;49,6123529411765;"accessories";17;1;17
"346";"APP1684";1;48,9325423728814;"accessories";59;1;59
"347";"APP1685";0,5;49,1596428571429;"accessories";28;1;28
"348";"APP1687";1,5;55,4966666666667;"accessories";6;1;6
"349";"APP1688";0,666666666666667;52,4740909090909;"accessories";22;1,04545454545455;23
"350";"APP1689";1;48,2921428571429;"accessories";14;1;14
"351";"APP1690";2;50,0253571428571;"accessories";28;1;28
"352";"APP1691";2,5;53,4145833333333;"accessories";24;1,04166666666667;25
"353";"APP1695";1;107,020769230769;"accessories";26;1;26
"354";"APP1696";1;54,1922222222222;"accessories";36;1,02777777777778;37
"355";"APP1699";0,333333333333333;430,836785714286;"smartwhatch";28;1,14285714285714;32
"356";"APP1713";0,5;462,870925925926;"smartwhatch";54;1,2037037037037;65
"357";"APP1729";0,0606060606060606;462,649891304348;"smartwhatch";276;1,07246376811594;296
"358";"APP1740";1;415,945641025641;"smartwhatch";39;1,05128205128205;41
"359";"APP1741";0,666666666666667;464,48484375;"smartwhatch";64;1,015625;65
"360";"APP1742";0,166666666666667;412,290888888889;"tablet";45;1,57777777777778;71
"361";"APP1743";1,5;419,214576271186;"tablet";59;1,1864406779661;70
"362";"APP1744";0,285714285714286;422,596;"tablet";40;1,05;42
"363";"APP1754";1;38,77;"accessories";6;1;6
"364";"APP1766";2;54,9942857142857;"accessories";7;1;7
"365";"APP1768";3;60,175;"accessories";6;1;6
"366";"APP1770";0,222222222222222;107,761690140845;"accessories";71;1,07042253521127;76
"367";"APP1771";2;107,615;"accessories";30;1,06666666666667;32
"368";"APP1772";1,09090909090909;40,9715;"accessories";100;1,04;104
"369";"APP1773";1;264,409120879121;"smartwhatch";91;1,01098901098901;92
"370";"APP1779";0,333333333333333;274,903766233766;"smartwhatch";77;1,03896103896104;80
"371";"APP1780";0,25;294,628157894737;"smartwhatch";38;1,05263157894737;40
"372";"APP1803";19;23,3350505050505;"accessories";99;1,01010101010101;100
"373";"APP1804";1,18181818181818;1569,33722826087;"laptop";184;1,01630434782609;187
"374";"APP1805";0,5;1578,62366666667;"laptop";30;1,13333333333333;34
"375";"APP1806";0,285714285714286;1839,11012658228;"laptop";158;1,05063291139241;166
"376";"APP1807";0,5;1847,87380952381;"laptop";42;1;42
"377";"APP1808";1;2052,96480769231;"laptop";52;1,01923076923077;53
"378";"APP1810";0,333333333333333;2520,46689393939;"laptop";132;1,03030303030303;136
"379";"APP1812";1,5;3002,74174418605;"laptop";86;1,23255813953488;106
"380";"APP1815";0,166666666666667;1818,12836734694;"laptop";49;1;49
"381";"APP1816";2;1769,804;"laptop";15;1;15
"382";"APP1818";1;2167,99;"laptop";15;1;15
"383";"APP1824";1;1859,84714285714;"laptop";7;1,28571428571429;9
"384";"APP1832";1;1872,76272727273;"laptop";22;1,09090909090909;24
"385";"APP1836";1,5;2101,60226415094;"laptop";53;1;53
"386";"APP1841";1;2109,64076923077;"laptop";13;1;13
"387";"APP1847";0,6;2642,49583333333;"laptop";48;1,02083333333333;49
"388";"APP1848";3;3094,53310344828;"laptop";29;1,17241379310345;34
"389";"APP1854";1;2402,914;"laptop";10;1;10
"390";"APP1868";0,5;3138,99;"laptop";14;1,21428571428571;17
